rank,invalid_conf,confident_conf,margin,score,pos_diag_rate,pos_uncertain_rate,pos_invalid_rate,pos_overall_acc,pos_diag_acc,neg_diag_rate,neg_uncertain_rate,neg_invalid_rate
1,0.55,0.9,0.1,-0.7692592592592584,0.9966666666666667,0.0033333333333333335,0.0,0.9966666666666667,1.0,0.7407407407407407,0.18518518518518517,0.07407407407407407
2,0.55,0.9,0.15,-0.7692592592592584,0.9966666666666667,0.0033333333333333335,0.0,0.9966666666666667,1.0,0.7407407407407407,0.18518518518518517,0.07407407407407407
3,0.55,0.9,0.2,-0.7692592592592584,0.9966666666666667,0.0033333333333333335,0.0,0.9966666666666667,1.0,0.7407407407407407,0.18518518518518517,0.07407407407407407
4,0.55,0.9,0.25,-0.7692592592592584,0.9966666666666667,0.0033333333333333335,0.0,0.9966666666666667,1.0,0.7407407407407407,0.18518518518518517,0.07407407407407407
5,0.55,0.9,0.3,-0.7692592592592584,0.9966666666666667,0.0033333333333333335,0.0,0.9966666666666667,1.0,0.7407407407407407,0.18518518518518517,0.07407407407407407
6,0.55,0.9,0.35,-0.7692592592592584,0.9966666666666667,0.0033333333333333335,0.0,0.9966666666666667,1.0,0.7407407407407407,0.18518518518518517,0.07407407407407407
7,0.6,0.9,0.1,-0.7692592592592584,0.9966666666666667,0.0033333333333333335,0.0,0.9966666666666667,1.0,0.7407407407407407,0.18518518518518517,0.07407407407407407
8,0.6,0.9,0.15,-0.7692592592592584,0.9966666666666667,0.0033333333333333335,0.0,0.9966666666666667,1.0,0.7407407407407407,0.18518518518518517,0.07407407407407407
9,0.6,0.9,0.2,-0.7692592592592584,0.9966666666666667,0.0033333333333333335,0.0,0.9966666666666667,1.0,0.7407407407407407,0.18518518518518517,0.07407407407407407
10,0.6,0.9,0.25,-0.7692592592592584,0.9966666666666667,0.0033333333333333335,0.0,0.9966666666666667,1.0,0.7407407407407407,0.18518518518518517,0.07407407407407407
11,0.6,0.9,0.3,-0.7692592592592584,0.9966666666666667,0.0033333333333333335,0.0,0.9966666666666667,1.0,0.7407407407407407,0.18518518518518517,0.07407407407407407
12,0.6,0.9,0.35,-0.7692592592592584,0.9966666666666667,0.0033333333333333335,0.0,0.9966666666666667,1.0,0.7407407407407407,0.18518518518518517,0.07407407407407407
13,0.65,0.9,0.1,-0.7692592592592584,0.9966666666666667,0.0033333333333333335,0.0,0.9966666666666667,1.0,0.7407407407407407,0.18518518518518517,0.07407407407407407
14,0.65,0.9,0.15,-0.7692592592592584,0.9966666666666667,0.0033333333333333335,0.0,0.9966666666666667,1.0,0.7407407407407407,0.18518518518518517,0.07407407407407407
15,0.65,0.9,0.2,-0.7692592592592584,0.9966666666666667,0.0033333333333333335,0.0,0.9966666666666667,1.0,0.7407407407407407,0.18518518518518517,0.07407407407407407
16,0.65,0.9,0.25,-0.7692592592592584,0.9966666666666667,0.0033333333333333335,0.0,0.9966666666666667,1.0,0.7407407407407407,0.18518518518518517,0.07407407407407407
17,0.65,0.9,0.3,-0.7692592592592584,0.9966666666666667,0.0033333333333333335,0.0,0.9966666666666667,1.0,0.7407407407407407,0.18518518518518517,0.07407407407407407
18,0.65,0.9,0.35,-0.7692592592592584,0.9966666666666667,0.0033333333333333335,0.0,0.9966666666666667,1.0,0.7407407407407407,0.18518518518518517,0.07407407407407407
19,0.7,0.9,0.1,-0.7692592592592584,0.9966666666666667,0.0033333333333333335,0.0,0.9966666666666667,1.0,0.7407407407407407,0.18518518518518517,0.07407407407407407
20,0.7,0.9,0.15,-0.7692592592592584,0.9966666666666667,0.0033333333333333335,0.0,0.9966666666666667,1.0,0.7407407407407407,0.18518518518518517,0.07407407407407407
