rank,invalid_conf,confident_conf,margin,score,pos_diag_rate,pos_uncertain_rate,pos_invalid_rate,pos_overall_acc,pos_diag_acc,neg_diag_rate,neg_uncertain_rate,neg_invalid_rate
1,0.35,0.65,0.1,4.493747913188647,0.9983333333333333,0.0016666666666666668,0.0,0.9983333333333333,0.9991652754590985,,,
2,0.35,0.65,0.15,4.493747913188647,0.9983333333333333,0.0016666666666666668,0.0,0.9983333333333333,0.9991652754590985,,,
3,0.35,0.65,0.2,4.493747913188647,0.9983333333333333,0.0016666666666666668,0.0,0.9983333333333333,0.9991652754590985,,,
4,0.35,0.65,0.25,4.493747913188647,0.9983333333333333,0.0016666666666666668,0.0,0.9983333333333333,0.9991652754590985,,,
5,0.35,0.65,0.3,4.493747913188647,0.9983333333333333,0.0016666666666666668,0.0,0.9983333333333333,0.9991652754590985,,,
6,0.35,0.65,0.35,4.493747913188647,0.9983333333333333,0.0016666666666666668,0.0,0.9983333333333333,0.9991652754590985,,,
7,0.35,0.7,0.1,4.493747913188647,0.9983333333333333,0.0016666666666666668,0.0,0.9983333333333333,0.9991652754590985,,,
8,0.35,0.7,0.15,4.493747913188647,0.9983333333333333,0.0016666666666666668,0.0,0.9983333333333333,0.9991652754590985,,,
9,0.35,0.7,0.2,4.493747913188647,0.9983333333333333,0.0016666666666666668,0.0,0.9983333333333333,0.9991652754590985,,,
10,0.35,0.7,0.25,4.493747913188647,0.9983333333333333,0.0016666666666666668,0.0,0.9983333333333333,0.9991652754590985,,,
11,0.35,0.7,0.3,4.493747913188647,0.9983333333333333,0.0016666666666666668,0.0,0.9983333333333333,0.9991652754590985,,,
12,0.35,0.7,0.35,4.493747913188647,0.9983333333333333,0.0016666666666666668,0.0,0.9983333333333333,0.9991652754590985,,,
13,0.4,0.65,0.1,4.493747913188647,0.9983333333333333,0.0016666666666666668,0.0,0.9983333333333333,0.9991652754590985,,,
14,0.4,0.65,0.15,4.493747913188647,0.9983333333333333,0.0016666666666666668,0.0,0.9983333333333333,0.9991652754590985,,,
15,0.4,0.65,0.2,4.493747913188647,0.9983333333333333,0.0016666666666666668,0.0,0.9983333333333333,0.9991652754590985,,,
16,0.4,0.65,0.25,4.493747913188647,0.9983333333333333,0.0016666666666666668,0.0,0.9983333333333333,0.9991652754590985,,,
17,0.4,0.65,0.3,4.493747913188647,0.9983333333333333,0.0016666666666666668,0.0,0.9983333333333333,0.9991652754590985,,,
18,0.4,0.65,0.35,4.493747913188647,0.9983333333333333,0.0016666666666666668,0.0,0.9983333333333333,0.9991652754590985,,,
19,0.4,0.7,0.1,4.493747913188647,0.9983333333333333,0.0016666666666666668,0.0,0.9983333333333333,0.9991652754590985,,,
20,0.4,0.7,0.15,4.493747913188647,0.9983333333333333,0.0016666666666666668,0.0,0.9983333333333333,0.9991652754590985,,,
